,symbol,cluster
245,AM,18
266,AMJ,18
268,AMLP,18
291,AMU,18
294,AMZA,18
423,ATMP,18
729,BPMP,18
969,CEM,18
975,CEQP,18
1156,CNXM,18
1216,CQP,18
1279,CTR,18
1376,DCP,18
1459,DKL,18
1528,DSE,18
1698,EINC,18
1730,EMO,18
1738,ENFR,18
1739,ENLC,18
1758,EPD,18
1775,EQM,18
1842,ETRN,18
2004,FEI,18
2010,FEN,18
2143,FMO,18
2192,FPL,18
2356,GEL,18
2362,GER,18
2618,HEP,18
2621,HESM,18
2927,IMLP,18
3271,KMF,18
3326,KYN,18
3442,LNG,18
3562,MDIV,18
3636,MIE,18
3658,MLPA,18
3660,MLPC,18
3661,MLPG,18
3662,MLPI,18
3664,MLPX,18
3665,MLPY,18
3675,MMLP,18
3677,MMP,18
3724,MPLX,18
3858,NBLX,18
3916,NGL,18
3953,NML,18
4000,NS,18
4015,NTG,18
4132,OKE,18
4145,OMP,18
4564,PSXP,18
5192,SMM,18
5397,SUN,18
5442,SZC,18
5635,TPYP,18
5636,TPZ,18
5643,TRGP,18
5704,TTP,18
5734,TYG,18
5830,USAC,18
5831,USAI,18
