,symbol,cluster
0,AAAU,21
1,AACG,25
2,AADR,24
3,AAL,32
4,AAMC,26
5,AAME,26
6,AAN,28
7,AAOI,32
8,AAON,32
9,AAP,28
10,AAPL,24
11,AAT,17
12,AAU,21
13,AAWW,32
14,AAXJ,14
15,AB,37
16,ABB,30
17,ABBV,8
18,ABC,35
19,ABCB,15
20,ABEO,8
21,ABEQ,23
22,ABEV,31
23,ABG,32
24,ABIO,1
25,ABM,32
26,ABR,37
27,ABT,35
28,ABTX,15
29,ABUS,8
30,AC,27
31,ACA,28
32,ACAD,8
33,ACAM,33
34,ACB,1
35,ACBI,15
36,ACC,17
37,ACCO,32
38,ACEL,25
39,ACER,1
40,ACES,22
41,ACGL,35
42,ACGLO,34
43,ACGLP,34
44,ACH,14
45,ACHV,1
46,ACI,33
47,ACIA,7
48,ACIU,1
49,ACIW,7
50,ACLS,32
51,ACM,32
52,ACMR,7
53,ACN,35
54,ACNB,27
55,ACP,3
56,ACRE,37
57,ACRS,1
58,ACRX,1
59,ACSG,5
60,ACSI,2
61,ACT,35
62,ACTG,1
63,ACTT,23
64,ACTTU,33
65,ACU,26
66,ACV,3
67,ACWF,22
68,ACWI,22
69,ACWV,35
70,ACWX,30
71,ACY,26
72,ADAP,8
73,ADBE,24
74,ADC,17
75,ADCT,33
76,ADI,32
77,ADIL,26
78,ADM,32
79,ADMA,1
80,ADME,24
81,ADMP,1
82,ADMS,8
83,ADNT,32
84,ADP,35
85,ADPT,20
86,ADRE,14
87,ADRO,8
88,ADS,32
89,ADSK,7
90,ADSW,26
91,ADT,28
92,ADTN,28
93,ADTX,33
94,ADUS,35
95,ADVM,8
96,ADX,22
97,ADXN,33
98,ADXS,1
99,AE,1
100,AEB,34
101,AEF,14
102,AEFC,23
103,AEG,16
104,AEGN,32
105,AEL,15
106,AEM,21
107,AEMD,26
108,AEO,28
109,AEP,12
110,AERI,8
111,AES,37
112,AESE,25
113,AEY,26
114,AEYE,1
115,AEZS,1
116,AFB,9
117,AFC,34
118,AFG,15
119,AFGD,33
120,AFGH,34
121,AFH,26
122,AFI,28
123,AFIF,0
124,AFIN,17
125,AFK,16
126,AFL,35
127,AFMC,23
128,AFMD,8
129,AFSM,23
130,AFT,3
131,AFTY,14
132,AFYA,20
133,AG,21
134,AGBA,33
135,AGCO,32
